Company Name,Title,Description,Location,Started On,Finished On
CartBuz,Full Stack Engineer,,"Amman, Jordan",Jan 2026,
Freelance | Self-Employed,Freelance CAD Designer,-Designed intricate mosaic patterns using CAD software for scalable models.  -Collaborated with artisans and production teams to implement designs in various projects.  -Ensured aesthetic and technical accuracy in all designs delivered.,"Amman, Jordan",Jul 2022,Jan 2026
Supe Market Abu Rakan,Store Cashier,-Managed daily transactions and processed payments accurately.  -Delivered high-quality customer service by addressing inquiries and resolving issues.  -Assisted in inventory management and product organization.,"Madaba, Jordan",Jun 2019,Aug 2025
