Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-05-10 13:41:52,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7459236267378155520,Abedalaziz Alezeizat is #hiring. Know anyone who might be interested?,"","",MEMBER_NETWORK
2026-05-03 07:55:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7456612315044409344,"","","",MEMBER_NETWORK
2026-04-01 10:48:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7445059441428828160,Abedalaziz Alezeizat is #hiring. Know anyone who might be interested?,"","",MEMBER_NETWORK
2026-03-30 14:08:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7444384982409826304,Abedalaziz Alezeizat is #hiring. Know anyone who might be interested?,"","",MEMBER_NETWORK
2026-03-30 14:07:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7444384742072008704,"","","",MEMBER_NETWORK
2026-02-25 08:13:10,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7432336845952294912,"","","",MEMBER_NETWORK
