Challenge Date,IP Address,User Agent,Country,Challenge Type
Sat Jun 22 08:07:38 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:07:38 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:08:02 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:08:12 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:08:18 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:08:18 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:08:28 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:08:31 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:08:31 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:09:18 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:09:18 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:09:33 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
