School Name,Start Date,End Date,Notes,Degree Name,Activities
MERAKI Academy JO,Oct 2023,Mar 2024,"400+ hours of coding, project development, and problem-solving. Specializing in JavaScript, React.js, Node.js, MongoDB, and PostgreSQL.",web development,
The World Islamic Sciences and Education University,Jul 2019,Jul 2023,"Focused on Islamic architecture, decorative arts, and design principles.",Islamic art,
