Title,Description,Url,Started On,Finished On
Course Management System,"Developed a platform for managing courses and student enrollments.Technologies: React.js, Node.js, PostgreSQL, Express, Firebase.",,May 2024,Jun 2024
Tickln – Team Collaboration Tool,"Developed a platform for creating, sharing, and tracking tickets within teams.Technologies: React.js, Node.js, MongoDB, Socket.IO.",,Oct 2024,Dec 2024
EV Solution JO,"I developed the EV Solution JO platform, a full‑stack web application for electric vehicle charging services in Jordan. The system was built using Node.js and Express on the backend, React on the frontend, and Tailwind CSS for a modern, responsive UI. I implemented a scalable architecture with secure authentication and complete content management capabilities, enabling administrators to fully control and customize the platform’s data, user experience, and business logic.",,Sep 2024,Oct 2024
