ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=software engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000001}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",1740808907
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=full stack engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000001}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",1740808899
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=full stack engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103710677}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",1739914155
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=full stack engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105255939}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",1739914011
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=software engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105255939}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",1739914003
